month,day,hour,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
7,1,0,84,62,29,38,32,3,5,22,17,112,242,182,212,0.6,0.7
7,1,1,50,35,30,19,32,3,5,19,17,100,242,100,100,0.5,0.7
7,1,2,39,27,30,16,32,3,5,23,17,83,242,92,100,0.5,0.7
7,1,3,38,26,31,16,32,3,5,25,18,75,242,86,100,0.5,0.7
7,1,4,30,21,31,17,32,3,5,24,18,73,242,83,100,0.5,0.7
7,1,5,29,20,31,16,32,3,5,23,19,84,242,83,100,0.5,0.7
7,1,6,28,14,31,16,32,3,5,21,19,88,242,84,100,0.5,0.7
7,1,7,27,18,32,20,32,4,5,26,20,84,242,84,100,0.5,0.7
7,1,8,31,21,32,20,32,6,5,20,20,98,242,86,100,0.5,0.7
7,1,9,29,20,32,25,32,8,5,24,21,91,242,84,100,0.6,0.6
7,1,10,32,20,31,29,33,7,5,22,21,101,242,87,100,0.6,0.6
7,1,11,35,22,31,32,33,4,4,24,21,109,242,91,100,0.6,0.6
7,1,12,42,22,30,32,33,4,4,22,22,134,242,99,100,0.5,0.6
7,1,13,50,26,30,34,33,4,4,19,22,157,242,108,108,0.5,0.6
7,1,14,50.66666667,22,31,40.66666667,33,4,4,21,22,155,242,116,116,0.5,0.6
7,1,15,51.33333333,18,30,47.33333333,34,4,4,23,23,136,242,123,123,0.5,0.6
7,1,16,52,21,30,54,34,4,4,20,23,142,237,128,128,0.5,0.6
7,1,17,44,23,29,44,35,4,4,25,24,135,224,134,134,0.5,0.6
7,1,18,39,19,29,38,34,4,4,27,24,124,214,136,136,0.5,0.6
7,1,19,35,16,28,27,34,3,4,23,24,110,188,137,137,0.4,0.6
7,1,20,36,13,28,24,32,4,4,20,23,115,185,134,137,0.4,0.5
7,1,21,37,15,26,24,30,4,4,19,23,116,167,129,137,0.4,0.5
7,1,22,34,15,24,24,28,4,4,19,23,108,157,123,137,0.4,0.5
7,1,23,34,15,22,22,27,3,4,16,22,108,157,120,137,0.4,0.5
7,2,0,34,12,20,18,26,4,4,16,22,106,157,115,137,0.4,0.5
7,2,1,31,14,19,17,26,3,4,17,22,99,157,99,99,0.5,0.5
7,2,2,29,18,19,18,26,3,4,17,21,91,157,95,99,0.5,0.5
7,2,3,28,18,18,18,26,4,4,16,21,89,157,93,99,0.5,0.5
7,2,4,27,16,18,17,26,4,4,16,21,85,157,91,99,0.5,0.5
7,2,5,26,18,18,17,26,4,4,16,20,83,157,89,99,0.5,0.5
7,2,6,26,15,18,17,26,3,4,18,20,81,157,88,99,0.5,0.5
7,2,7,28,19,18,19,26,4,4,20,20,76,157,86,99,0.5,0.5
7,2,8,24,14,18,18,26,4,4,20,20,76,157,85,99,0.5,0.5
7,2,9,24,14,18,20,26,3,4,21,20,74,157,82,99,0.5,0.5
7,2,10,25,15,17,19,25,3,4,19,20,79,157,80,99,0.5,0.5
7,2,11,29,20,17,18,24,3,4,19,19,83,157,80,99,0.5,0.5
7,2,12,26,16,17,17,24,3,4,21,19,83,157,79,99,0.5,0.5
